"","ID","tau","lrc","res","sal","mem","zet","lp","ll","Persec"
"reset489","5ee7c7df09973e09bb653014",0.001,0.999,0.584309791681691,0.50660529910511,0.999947788139515,0.408894605489639,-51.7629960129761,-51.2646097593363,24
"reset490","5ee7ccc7e257390912a8101e",0.001,0.999,0.542287906536159,0.496933477053482,0.999990547748884,0.717106073093514,-67.3522712559191,-65.2762742018352,17
"reset491","5ee8e3de1c649a215bae3e59",0.001,0.999,0.47799375645848,0.412514343167232,0.999992649775302,0.453353334730092,-57.6876449959628,-56.8408531199514,2
"reset492","5ee91ec1ef56832aa7947169",0.001,0.999,0.567968907550158,0.422882884657079,0.999978419671694,0.00187055188366178,-23.3230320420442,-23.48356172656,1
"reset493","5ee9e9c1496265000a792544",0.001,0.999,0.379621685259805,0.499856223113411,0.999998333450226,0.255888354079026,-45.3860498799772,-44.9656180364479,9
"reset494","5eea8c81e1959f14a3999921",0.001,0.999,0.446548408411545,0.804796719757574,0.999954107088457,0.700468191556855,-66.0536408529884,-64.1293435937623,5
"reset495","5eeb621a7c83c62d2473afb1",0.001,0.999,0.544005718193578,0.690741813325273,0.999996916698048,0.107329769177819,-35.8115711456618,-35.7300481002279,3
"reset496","5eeb6f6cff37eb08003590e8",0.001,0.999,0.432110594869357,4.05260852042495e-06,0.999998989113363,0.20645121446425,-36.7590924050905,-33.6500111807877,0
"reset497","5eec977365b56a02f54f7bcd",0.001,0.999,0.853967929778921,0.0742240641346424,0.999943405980276,0.455778338088391,-58.6872687707437,-57.6517299552685,3
"reset498","5eecdb2f8343cb0aa4ed34c6",0.001,0.999,0.111206199656717,0.546724189513804,0.999932959058613,0.635850218340085,-64.6700543101363,-63.1820434376583,20
"reset499","5eed184c2c93d51212cf04e2",0.001,0.999,0.883266242665214,0.446512746227824,0.999878665803929,0.608904800200229,-62.1912573903144,-60.9031452002869,3
"reset500","5eee89a6c00bfb337a3c54a8",0.001,0.999,0.417078610491487,0.427333105781965,0.999999489695717,0.152533469765964,-35.3946846762455,-35.08149745647,1
"reset501","5ef0c9b95817dc145532fcee",0.001,0.999,0.93427053463243,0.458186176534449,0.999931187762037,0.644536663607972,-64.6634129810516,-63.0844534106596,14
"reset502","5ef1bb10c673fd7d2d14e439",0.001,0.999,0.171461414454113,0.44551375856607,0.999998278593822,0.903549834782124,-71.7320104878471,-67.3401909095317,0
"reset503","5ef22304270c550357f4dd5d",0.001,0.999,0.158573783699035,0.45373517958652,0.999998782956528,0.434717906379065,-56.6015805891047,-55.5812561513033,5
"reset504","5ef241253eb63511d02451e6",0.001,0.999,0.488272605831096,0.501943031661062,0.158213990228177,0.250745625349612,-36.5430944092489,-37.2698624198391,1
