"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID189","5d1290103b20b0000102e8e3","0.01","0.99","0.43","0.3","0.999999","0.0285721428571429","-29.8935623553886","-23.3355278583654"
"ID190","5d166c21e1c05200198b446d","0.01","0.99","0.43","0.3","0.999999","0.1","-66.157053916574","-59.5127304431854"
"ID191","5d1bbbd63788ac0019ced5d9","0.01","0.99","0.43","0.3","0.9","0.1","-81.3071091592864","-75.8035422808262"
"ID192","5d1bcfd2e24a990001f327a3","0.01","0.99","0.57","0.3","0.999999","0.0142865714285714","-24.8742909150604","-18.3100682059772"
"ID193","5d211227bdbc65001b7ace0a","0.01","0.99","0.57","0.3","0.999999","0.1","-67.72466082721","-61.0803373538213"
"ID194","5d24c2146dd2960016cef0b7","0.01","0.99","0.01","1e-06","0.999999","0.1","-31.8746300383378","-21.8456774591848"
"ID195","5d26c8bc341630001a250a2f","0.01","0.99","0.57","0.3","0.999999","0.1","-38.5574330993758","-31.9131096259872"
"ID196","5d279cd62c5700001b7ec29a","0.01","0.99","0.57","0.3","0.999999","0.1","-44.1181438930351","-37.4738204196465"
"ID197","5d285eb5324974001908c626","0.01","0.99","0.43","0.3","0.999999","0.1","-70.7929070758596","-64.1485836024709"
"ID198","5d2e2703a845b0001b439e08","0.01","0.99","0.43","0.3","0.999999","0.0714288571428571","-37.104416277815","-30.5042112524278"
"ID199","5d37763a3cedb40001afecf5","0.01","0.99","0.43","0.3","0.999999","0.1","-104.740660390884","-98.0963369174957"
"ID200","5d39bb499f4f3f00158298f2","0.01","0.99","0.01","1e-06","0.999999","0.1","-47.2629297064349","-37.2339771272818"
"ID201","5d3e019693eb2d0015788062","0.01","0.99","0.01","1e-06","0.999999","0.1","-42.2999471717309","-32.2709945925779"
"ID202","5d404c6a584cc80017e81001","0.01","0.99","0.57","0.3","0.9","0.1","-34.6562460168336","-29.1526791383733"
"ID203","5d442c09f7386b001a3c2477","0.01","0.99","0.99","1e-06","0.999999","0.0285721428571429","-21.7239080582993","-11.7812444555117"
"ID204","5d45521afdaaad00010ec185","0.01","0.99","0.43","0.3","0.999999","0.0714288571428571","-33.3092351399957","-26.7090301146085"
"ID205","5d4b334b1813250017d3c6cc","0.01","0.99","0.57","0.3","0.999999","0.1","-57.2234348989857","-50.579111425597"
"ID206","5d4b4d093574500018795f36","0.01","0.99","0.57","0.3","0.999999","0.1","-98.9612419710645","-92.3169184976758"
"ID207","5d53346807e8740015e561ed","0.01","0.99","0.01","1e-06","0.999999","0.1","-29.3283671023498","-19.2994145231968"
